model,tracer,z_eff,predicted,observed,residual,sigma,pull
ΛCDM (Ω_m=0.315),BGS,0.3,0.47292127935966594,0.396326,-0.07659527935966592,0.08996,-0.8514370760300792
ΛCDM (Ω_m=0.315),LRG1,0.51,0.4735870316954361,0.547632,0.07404496830456392,0.0594,1.2465482879556216
ΛCDM (Ω_m=0.315),LRG2,0.71,0.4606368532973823,0.479541,0.018904146702617697,0.04802,0.393672359488082
ΛCDM (Ω_m=0.315),LRG3,0.92,0.4397654300643796,0.438454,-0.001311430064379615,0.04125,-0.03179224398496036
ΛCDM (Ω_m=0.315),ELG2,1.32,0.3940436296863104,0.372661,-0.021382629686310384,0.03437,-0.6221306280567467
ΛCDM (Ω_m=0.315),QSO,1.49,0.3749962891061718,0.436849,0.06185271089382821,0.04586,1.3487289771877065
"Λcos (s_0=0.076, median)",BGS,0.3,0.47252504857731326,0.396326,-0.07619904857731324,0.08996,-0.8470325542164656
"Λcos (s_0=0.076, median)",LRG1,0.51,0.47303540754012535,0.547632,0.07459659245987466,0.0594,1.2558348898968796
"Λcos (s_0=0.076, median)",LRG2,0.71,0.4600016303487463,0.479541,0.01953936965125369,0.04802,0.40690065912648254
"Λcos (s_0=0.076, median)",LRG3,0.92,0.43910201001111415,0.438454,-0.0006480100111141418,0.04125,-0.015709333602767075
"Λcos (s_0=0.076, median)",ELG2,1.32,0.39343111049607477,0.372661,-0.020770110496074745,0.03437,-0.6043092957833793
"Λcos (s_0=0.076, median)",QSO,1.49,0.37442656115495354,0.436849,0.062422438845046446,0.04586,1.3611521771706596
"Λcos (s_0=0.185, 95% UL)",BGS,0.3,0.4705163315159738,0.396326,-0.07419033151597376,0.08996,-0.8247035517560445
"Λcos (s_0=0.185, 95% UL)",LRG1,0.51,0.47024699820834076,0.547632,0.07738500179165925,0.0594,1.3027778079403913
"Λcos (s_0=0.185, 95% UL)",LRG2,0.71,0.45679796308985204,0.479541,0.02274303691014795,0.04802,0.47361592899100274
"Λcos (s_0=0.185, 95% UL)",LRG3,0.92,0.43576196430581704,0.438454,0.0026920356941829704,0.04125,0.06526147137413262
"Λcos (s_0=0.185, 95% UL)",ELG2,1.32,0.3903523843602255,0.372661,-0.017691384360225493,0.03437,-0.5147333244173842
"Λcos (s_0=0.185, 95% UL)",QSO,1.49,0.3715633289753761,0.436849,0.0652856710246239,0.04586,1.423586372102571
